iter	Passed	Remaining
188	152147	652864
189	152946	652034
190	153758	651259
191	154594	650586
192	155397	649769
193	156199	648953
194	157090	648500
195	158087	648482
196	159046	648296
197	159995	648063
198	161038	648198
199	162003	648013
200	162805	647171
201	163621	646384
202	164422	645542
203	165231	644728
204	166031	643880
205	166849	643099
206	167644	642233
207	168463	641455
208	169272	640641
209	170083	639838
210	170909	639089
211	171703	638218
212	172498	637352
213	173299	636510
214	174099	635666
215	174896	634808
216	175694	633956
217	176507	633158
218	177318	632356
219	178125	631535
220	178919	630672
221	179724	629845
222	180518	628981
223	181324	628159
224	182139	627368
225	182940	626529
226	183749	625720
227	184552	624887
228	185354	624055
229	186154	623212
230	186959	622388
231	187778	621610
232	188577	620766
233	189377	619929
234	190181	619100
235	190972	618233
236	191774	617401
237	192576	616569
238	193374	615725
239	194184	614917
240	194973	614043
241	195773	613207
242	196572	612369
243	197372	611529
244	198173	610698
245	198978	609878
246	199821	609170
247	200614	608314
248	201427	607519
249	202239	606717
250	203039	605883
251	203840	605050
252	204642	604222
253	205443	603388
254	206238	602540
255	207035	601696
256	207836	600867
257	208633	600022
258	209431	599183
259	210226	598337
260	211025	597501
261	211838	596706
262	212635	595865
263	213444	595056
264	214237	594205
265	215032	593359
266	215832	592527
267	216642	591725
268	217448	590910
269	218241	590060
270	219046	589244
271	219867	588469
272	220666	587635
273	221463	586797
274	222266	585974
275	223080	585181
276	223881	584355
277	224677	583513
278	225476	582684
279	226278	581860
280	227085	581048
281	227889	580228
282	228687	579396
283	229485	578562
284	230289	577744
285	231089	576915
286	231890	576090
287	232693	575269
288	233485	574422
289	234284	573592
290	235087	572772
291	235900	571976
292	236696	571140
293	237505	570337
294	238309	569519
295	239111	568696
296	239906	567860
297	240708	567039
298	241515	566229
299	242320	565413
300	243124	564597
301	243930	563785
302	244735	562972
303	245543	562165
304	246340	561333
305	247154	560540
306	247951	559709
307	248756	558895
308	249558	558075
309	250358	557249
310	251163	556435
311	251967	555619
312	252768	554797
313	253567	553971
314	254373	553161
315	255182	552356
316	255987	551544
317	256785	550716
318	257590	549902
319	258389	549076
320	259188	548253
321	260001	547456
322	260808	546648
323	261625	545860
324	262433	545053
325	263237	544238
326	264119	543585
327	264922	542768
328	265722	541944
329	266518	541114
330	267327	540309
331	268126	539482
332	268923	538654
333	269733	537851
334	270526	537015
335	271336	536213
336	272150	535418
337	272952	534599
338	273747	533766
339	274594	533036
340	275405	532235
341	276218	531437
342	277023	530625
343	277822	529801
344	278627	528988
345	279436	528183
346	280237	527362
347	281042	526550
348	281839	525723
349	282645	524913
350	283447	524094
351	284253	523284
352	285044	522447
353	285847	521631
354	286651	520818
355	287490	520067
356	288290	519246
357	289137	518508
358	290043	517876
359	290920	517191
360	291732	516391
361	292568	515631
362	293377	514824
363	294182	514010
364	294984	513192
365	295825	512440
366	296637	511638
367	297459	510853
368	298270	510050
369	299081	509247
370	299900	508457
371	300706	507644
372	301535	506870
373	302347	506067
374	303148	505247
375	303954	504435
376	304761	503624
377	305568	502814
378	306398	502040
379	307209	501236
380	308013	500420
381	308812	499597
382	309626	498798
383	310418	497963
384	311219	497143
385	312020	496322
386	312824	495508
387	313616	494673
388	314415	493850
389	315214	493027
390	316022	492219
391	316821	491396
392	317784	490827
393	318847	490410
394	319848	489894
395	320652	489075
396	321456	488257
397	322273	487458
